campaign_id,date,geo,city,profession,price_range,language,channel,campaign_type,impressions,clicks,conversions,spend_usd,revenue_usd,roi,quality_score
MC-02539,2024-01-01,GB,Bristol,Writer,mid,English,influencer,awareness,19569,597,34,1858.33,18435.51,9.9205,6.0
MC-00052,2024-01-01,US,New York,Writer,premium,English,influencer,retention,42876,824,21,416.03,68660.23,165.0367,5.0
MC-01101,2024-01-01,US,Houston,Researcher,mid,English,content_marketing,awareness,159374,2151,36,642.95,34100.87,53.0381,6.0
MC-00841,2024-01-01,BR,Salvador,Product Manager,mid,Portuguese,search,acquisition,54868,4954,162,1381.44,144145.64,104.3445,5.0
MC-01837,2024-01-01,US,New York,Accountant,budget,English,email,acquisition,51758,1885,100,922.67,15034.5,16.2946,1.0
MC-00647,2024-01-01,GB,London,Data Scientist,mid,English,influencer,acquisition,96051,2000,117,251.59,112223.11,446.0555,9.0
MC-02958,2024-01-01,US,Chicago,Product Manager,premium,English,display,acquisition,224541,3396,132,1972.66,453780.59,230.0349,3.0
MC-01158,2024-01-01,US,Phoenix,Data Scientist,mid,English,email,re_engagement,193294,4712,144,725.72,190016.08,261.8311,7.0
MC-02394,2024-01-01,DE,Stuttgart,HR Manager,mid,German,content_marketing,acquisition,53955,1104,14,149.35,8680.38,58.1211,2.0
MC-00423,2024-01-01,IN,Bangalore,Marketing Manager,premium,Hindi,email,retention,205773,7214,479,1517.68,2275486.55,1499.3191,8.0
MC-02384,2024-01-01,US,Los Angeles,Physician,mid,English,email,awareness,5524,205,11,948.89,10513.1,11.0794,6.0
MC-00395,2024-01-01,CA,Montreal,Lawyer,budget,English,email,acquisition,43722,1695,123,5743.85,24275.51,4.2263,4.0
MC-02940,2024-01-01,SG,Singapore,Architect,budget,English,display,acquisition,419739,5618,211,1007.2,47072.43,46.7359,6.0
MC-01221,2024-01-01,US,San Francisco,Accountant,mid,English,influencer,retention,113065,2140,138,5555.85,106578.86,19.1832,10.0
MC-00741,2024-01-01,US,Houston,Researcher,budget,English,search,re_engagement,28892,1979,72,1354.63,11781.66,8.6973,1.0
MC-00595,2024-01-01,US,Seattle,Software Engineer,budget,English,email,acquisition,17454,610,23,582.12,4030.02,6.923,1.0
MC-01314,2024-01-01,IL,Beer Sheva,Lawyer,budget,Hebrew,search,acquisition,28121,2031,70,8046.33,15542.56,1.9316,8.0
MC-02922,2024-01-01,US,Los Angeles,HR Manager,mid,English,social_media,acquisition,111050,2552,133,13891.85,72617.13,5.2273,10.0
MC-00744,2024-01-01,FR,Paris,Writer,budget,French,email,acquisition,23277,728,10,3436.77,1027.43,0.299,3.0
MC-00811,2024-01-01,IN,Bangalore,Accountant,mid,Hindi,social_media,awareness,25487,531,5,711.93,3829.08,5.3785,6.0
MC-01323,2024-01-01,IN,Pune,Teacher,premium,Hindi,social_media,acquisition,500000,12221,544,551.91,1807517.95,3275.023,9.0
MC-01617,2024-01-01,US,New York,Sales Rep,mid,English,content_marketing,awareness,111947,1951,37,2702.72,18735.45,6.9321,4.0
MC-02585,2024-01-01,BR,Salvador,Lawyer,mid,Portuguese,search,awareness,500000,47144,1234,14441.87,1535027.41,106.2901,3.0
MC-02299,2024-01-01,US,Houston,Marketing Manager,budget,English,display,retention,51402,580,37,17038.11,5349.39,0.314,3.0
MC-00766,2024-01-01,AU,Melbourne,Accountant,budget,English,influencer,acquisition,183632,4571,297,2607.65,47333.4,18.1517,8.0
MC-00775,2024-01-01,AU,Melbourne,Product Manager,mid,English,content_marketing,retention,3772,70,2,1730.53,1705.76,0.9857,4.0
MC-01911,2024-01-01,US,Chicago,Physician,budget,English,email,retention,4880,132,5,165.63,1172.33,7.078,6.0
MC-00998,2024-01-01,DE,Munich,Product Manager,mid,German,content_marketing,acquisition,2862,65,2,2885.94,1311.51,0.4544,5.0
MC-02880,2024-01-01,US,Chicago,Designer,premium,English,social_media,awareness,19487,326,19,470.06,52849.18,112.4307,8.0
MC-01952,2024-01-01,CA,Calgary,Product Manager,mid,English,influencer,acquisition,32562,762,34,3194.07,23360.2,7.3136,3.0
MC-02719,2024-01-01,US,Seattle,Architect,mid,English,search,acquisition,14502,1104,62,1105.49,67595.15,61.145,1.0
MC-02731,2024-01-01,US,Phoenix,Architect,mid,English,social_media,awareness,165810,3430,92,1465.14,112161.47,76.5534,9.0
MC-00535,2024-01-01,BR,Fortaleza,Data Scientist,budget,Portuguese,influencer,retention,62793,1303,62,1329.32,10430.31,7.8464,9.0
MC-01929,2024-01-02,BR,Brasília,Writer,budget,Portuguese,social_media,retention,18012,372,11,6208.82,1238.4,0.1995,6.0
MC-00519,2024-01-02,IN,Bangalore,Accountant,mid,Hindi,email,acquisition,26255,643,31,10295.27,23698.35,2.3019,2.0
MC-02571,2024-01-02,US,Chicago,Accountant,budget,English,social_media,retention,91585,1866,106,569.57,16483.88,28.9409,10.0
MC-01949,2024-01-02,IN,Kolkata,Lawyer,premium,Hindi,email,retention,6664,249,4,1046.7,22387.47,21.3886,1.0
MC-00826,2024-01-02,IN,Bangalore,Physician,budget,Hindi,search,re_engagement,4567,388,17,11056.34,3659.75,0.331,8.0
MC-00590,2024-01-02,US,Los Angeles,Software Engineer,premium,English,email,retention,95027,2480,107,3760.47,603951.21,160.6052,6.0
MC-01721,2024-01-02,DE,Stuttgart,Software Engineer,premium,German,social_media,acquisition,76517,1481,101,2020.33,598041.97,296.012,1.0
MC-00136,2024-01-02,CA,Montreal,Sales Rep,mid,English,email,retention,22904,639,19,301.42,9170.74,30.4251,2.0
MC-02130,2024-01-02,ZA,Johannesburg,Software Engineer,mid,Afrikaans,email,awareness,6530,238,11,4183.75,10029.26,2.3972,7.0
MC-02350,2024-01-02,US,San Francisco,Designer,mid,English,social_media,retention,500000,10230,327,7685.49,183799.96,23.9152,2.0
MC-00150,2024-01-02,US,New York,Sales Rep,premium,English,email,awareness,78341,2947,60,2285.16,187984.63,82.2632,7.0
MC-00872,2024-01-02,US,Los Angeles,Accountant,mid,English,social_media,re_engagement,19939700,500174,37741,2383.25,32865149.6,13790.0554,9.0
MC-00812,2024-01-02,US,Phoenix,Product Manager,mid,English,search,retention,71085,6474,441,3212.57,290652.99,90.4737,3.0
MC-02534,2024-01-02,GB,Leeds,Sales Rep,mid,English,social_media,acquisition,95672,1704,102,2569.19,49040.4,19.0879,3.0
MC-01356,2024-01-02,BR,Rio de Janeiro,Accountant,budget,Portuguese,email,retention,12058,308,14,217.93,2366.61,10.8595,1.0
MC-01568,2024-01-02,US,Phoenix,Software Engineer,budget,English,search,awareness,22188,1807,81,968.13,18459.13,19.0668,1.0
MC-00205,2024-01-02,MX,Monterrey,Designer,mid,Spanish,social_media,awareness,34770,540,6,4678.27,2696.33,0.5764,3.0
MC-00797,2024-01-02,IN,Delhi,Physician,mid,Hindi,social_media,awareness,24437,391,24,919.38,23201.12,25.2356,6.0
MC-00270,2024-01-02,US,San Francisco,Researcher,budget,English,email,retention,1360,45,2,4233.97,344.46,0.0814,10.0
MC-02887,2024-01-02,US,New York,Writer,mid,English,email,awareness,47368,1627,116,401.72,63663.98,158.4785,9.0
MC-02873,2024-01-02,US,Los Angeles,Data Scientist,mid,English,social_media,awareness,327987,5749,363,4203.42,390991.69,93.0175,10.0
MC-00227,2024-01-02,IN,Hyderabad,Writer,mid,Hindi,social_media,retention,38942,940,42,3854.29,26870.45,6.9716,5.0
MC-00239,2024-01-02,GB,Leeds,Writer,mid,English,display,acquisition,68976,824,64,3003.4,34387.86,11.4496,5.0
MC-00085,2024-01-02,CA,Toronto,Marketing Manager,budget,English,search,retention,82226,4633,157,5500.58,20620.59,3.7488,1.0
MC-02052,2024-01-02,DE,Stuttgart,Consultant,mid,German,display,re_engagement,222717,3406,110,2320.34,80109.35,34.5248,8.0
MC-02115,2024-01-02,US,New York,Marketing Manager,budget,English,email,acquisition,2771,94,2,951.46,259.25,0.2725,9.0
MC-02038,2024-01-02,US,New York,Physician,mid,English,social_media,awareness,87160,2029,68,6582.53,69038.02,10.4881,1.0
MC-00683,2024-01-02,DE,Frankfurt,Physician,budget,German,social_media,awareness,86952,1402,65,14539.35,14738.09,1.0137,4.0
MC-01902,2024-01-02,US,Houston,Marketing Manager,budget,English,email,awareness,198441,6705,127,1620.4,18289.99,11.2873,6.0
MC-02023,2024-01-02,NL,Rotterdam,Physician,budget,Dutch,search,awareness,8161,724,37,2373.39,6496.88,2.7374,8.0
MC-02557,2024-01-02,GB,Leeds,Lawyer,mid,English,social_media,awareness,107832,1944,33,1935.97,40213.69,20.7719,7.0
MC-01045,2024-01-02,FR,Bordeaux,Architect,budget,French,search,re_engagement,7175,509,14,406.11,2820.78,6.9459,10.0
MC-01069,2024-01-02,ES,Bilbao,Software Engineer,mid,Spanish,email,acquisition,34592,1215,75,282.44,100285.15,355.0671,9.0
MC-02031,2024-01-02,US,Phoenix,Data Scientist,mid,English,social_media,acquisition,500000,9703,621,4360.3,679412.28,155.8178,2.0
MC-01894,2024-01-02,US,Phoenix,Product Manager,premium,English,social_media,retention,297307,4780,126,493.23,590583.8,1197.3801,6.0
MC-02919,2024-01-03,NL,Amsterdam,Lawyer,mid,Dutch,display,acquisition,61668,767,48,7197.64,62991.89,8.7517,5.0
MC-02815,2024-01-03,FR,Lyon,Accountant,budget,French,social_media,acquisition,238037,5508,158,2682.17,27584.35,10.2843,6.0
MC-00422,2024-01-03,GB,Birmingham,Data Scientist,mid,English,display,retention,17301,220,16,2398.13,21370.27,8.9112,7.0
MC-02870,2024-01-03,US,Chicago,Consultant,budget,English,email,retention,4333,130,7,1343.24,896.05,0.6671,1.0
MC-01382,2024-01-03,GB,Glasgow,Data Scientist,budget,English,social_media,acquisition,12147,271,20,5210.17,4800.48,0.9214,8.0
MC-00795,2024-01-03,IN,Hyderabad,Data Scientist,mid,Hindi,display,acquisition,431565,3726,225,631.47,255569.72,404.7219,4.0
MC-01433,2024-01-03,SG,Singapore,HR Manager,mid,English,social_media,re_engagement,25827,366,18,6599.89,10675.69,1.6176,4.0
MC-02122,2024-01-03,GB,London,Data Scientist,budget,English,email,acquisition,30970,1074,18,132.45,3276.28,24.736,3.0
MC-02080,2024-01-03,BR,Brasília,Architect,premium,Portuguese,search,acquisition,4361,329,23,19321.7,116510.03,6.03,5.0
MC-02276,2024-01-03,CA,Toronto,HR Manager,mid,English,content_marketing,retention,29268,672,8,1272.84,4065.59,3.1941,9.0
MC-02750,2024-01-03,JP,Tokyo,Writer,mid,Japanese,social_media,re_engagement,90390,1277,33,3027.53,21526.16,7.1101,7.0
MC-01205,2024-01-03,CA,Toronto,Teacher,premium,English,search,awareness,3117700,269952,19858,5198.4,55651499.41,10705.5054,5.0
MC-02581,2024-01-03,BR,Brasília,Sales Rep,budget,Portuguese,content_marketing,awareness,10719,183,4,1850.37,338.46,0.1829,8.0
MC-00485,2024-01-03,BR,Fortaleza,Teacher,budget,Portuguese,social_media,acquisition,500000,12771,761,2017.95,83668.63,41.4622,1.0
MC-02698,2024-01-03,ES,Seville,Architect,budget,Spanish,email,acquisition,10791,327,7,665.47,1601.28,2.4062,6.0
MC-01743,2024-01-03,AU,Perth,HR Manager,mid,English,email,retention,30901,903,71,9412.11,41620.54,4.422,7.0
MC-02560,2024-01-03,US,Seattle,Accountant,mid,English,email,acquisition,22892,713,48,1911.16,35561.66,18.6074,2.0
MC-02605,2024-01-03,IN,Kolkata,Product Manager,mid,Hindi,email,acquisition,15383,435,9,4253.25,7810.08,1.8363,7.0
MC-00415,2024-01-03,US,Houston,Writer,budget,English,social_media,acquisition,163037,2359,89,756.31,7986.27,10.5595,5.0
MC-00768,2024-01-03,GB,Manchester,Sales Rep,mid,English,email,re_engagement,21768,845,57,1531.09,32213.72,21.0397,8.0
MC-01729,2024-01-03,IN,Kolkata,Architect,premium,Hindi,email,retention,32136,805,46,4180.93,251815.78,60.2296,10.0
MC-01161,2024-01-03,FR,Nice,Marketing Manager,budget,French,email,re_engagement,7624,198,4,1258.0,624.4,0.4963,9.0
MC-01318,2024-01-03,AU,Brisbane,Writer,budget,English,email,retention,17651,636,15,885.23,1546.49,1.747,8.0
MC-01841,2024-01-03,NL,Amsterdam,Consultant,budget,Dutch,display,acquisition,51738,702,34,920.85,4432.29,4.8133,2.0
MC-01660,2024-01-03,US,San Francisco,Researcher,mid,English,search,retention,19334,1778,65,2387.48,50590.33,21.1898,1.0
MC-02321,2024-01-03,US,San Francisco,Researcher,mid,English,social_media,re_engagement,71012,1106,45,1234.39,38541.16,31.2228,8.0
MC-00650,2024-01-03,SG,Singapore,Physician,premium,English,search,awareness,9188,841,17,2073.84,109588.28,52.8432,2.0
MC-00069,2024-01-03,CA,Toronto,Architect,budget,English,email,acquisition,24078,753,23,264.03,4125.41,15.6248,2.0
MC-00633,2024-01-03,IN,Mumbai,Data Scientist,mid,Hindi,email,acquisition,391713,12662,404,3034.5,501971.68,165.4215,3.0
MC-02018,2024-01-03,FR,Bordeaux,Lawyer,mid,French,content_marketing,re_engagement,139953,3020,225,610.16,250267.98,410.1678,7.0
MC-00164,2024-01-03,BR,Fortaleza,Data Scientist,premium,Portuguese,content_marketing,acquisition,25268,525,10,4337.16,56783.62,13.0924,4.0
MC-02152,2024-01-03,US,Seattle,Physician,budget,English,email,awareness,65791,1795,66,1156.84,15521.91,13.4175,3.0
MC-02501,2024-01-03,US,Seattle,Sales Rep,mid,English,search,acquisition,8326,764,19,864.82,11086.34,12.8192,1.0
MC-00723,2024-01-03,SG,Singapore,Teacher,budget,English,social_media,retention,225432,4858,219,5018.88,23923.98,4.7668,9.0
MC-00972,2024-01-03,US,Houston,Lawyer,mid,English,email,awareness,54462,1609,78,1820.57,88550.68,48.639,9.0
MC-01390,2024-01-04,IN,Mumbai,Product Manager,budget,Hindi,search,awareness,14374,1238,75,3325.19,12180.94,3.6632,7.0
MC-00125,2024-01-04,US,Seattle,Accountant,budget,English,display,retention,171873,2081,70,233.69,12403.69,53.0775,10.0
MC-00759,2024-01-04,MX,Monterrey,Product Manager,budget,Spanish,social_media,retention,106850,2526,135,325.14,17900.01,55.0532,10.0
MC-01620,2024-01-04,FR,Marseille,Physician,mid,French,email,retention,4286,166,8,1137.76,7980.82,7.0145,8.0
MC-01315,2024-01-04,US,New York,Writer,budget,English,content_marketing,awareness,34752,482,31,1589.52,3583.5,2.2545,6.0
