campaign_id,date,geo,city,profession,price_range,language,channel,campaign_type,impressions,clicks,conversions,spend_usd,revenue_usd,roi,quality_score
MC-41019,2025-01-01,GB,Bristol,Writer,mid,English,email,awareness,42541,971,14,2378.78,8998.66,3.7829,5.0
MC-40921,2025-01-01,US,Phoenix,Researcher,premium,English,email,awareness,8194,251,11,1531.31,48045.7,31.3756,2.0
MC-40141,2025-01-01,IN,Hyderabad,Writer,budget,Hindi,display,retention,289575,2445,82,2176.46,9790.27,4.4983,5.0
MC-40611,2025-01-01,CA,Ottawa,HR Manager,premium,English,social_media,awareness,10787,203,9,4805.55,20926.19,4.3546,7.0
MC-41320,2025-01-01,IN,Hyderabad,Lawyer,mid,Hindi,email,awareness,7833,284,10,3809.69,11024.14,2.8937,9.0
MC-41932,2025-01-01,US,Los Angeles,Sales Rep,budget,English,display,acquisition,53481,724,10,723.49,1197.2,1.6548,7.0
MC-41235,2025-01-01,NL,Eindhoven,HR Manager,premium,Dutch,social_media,awareness,66730,1423,29,20199.04,86177.09,4.2664,10.0
MC-40749,2025-01-01,IN,Bangalore,Sales Rep,mid,Hindi,display,awareness,484635,6099,322,2063.89,186252.24,90.2433,5.0
MC-42835,2025-01-01,DE,Munich,Researcher,mid,German,social_media,acquisition,500000,10536,157,518.39,111881.9,215.8257,2.0
MC-41999,2025-01-01,FR,Toulouse,Designer,budget,French,social_media,acquisition,50102,1143,51,1165.87,6181.08,5.3017,7.0
MC-41718,2025-01-01,US,Los Angeles,Physician,mid,English,social_media,acquisition,11402,187,9,10796.86,11446.91,1.0602,7.0
MC-42049,2025-01-01,US,Los Angeles,Data Scientist,mid,English,influencer,acquisition,99847,2427,177,706.75,181307.63,256.5371,2.0
MC-40793,2025-01-01,DE,Berlin,Accountant,mid,German,social_media,awareness,32435,673,22,1348.19,18083.01,13.4128,3.0
MC-41654,2025-01-01,ES,Bilbao,Consultant,mid,Spanish,search,retention,162138,15769,1129,704.14,1009994.98,1434.3667,9.0
MC-42138,2025-01-01,US,Chicago,Architect,mid,English,email,re_engagement,55122,1360,79,707.88,93357.95,131.8839,9.0
MC-41394,2025-01-01,US,Houston,Architect,mid,English,email,acquisition,13061,485,9,6185.1,10823.71,1.75,1.0
MC-42868,2025-01-01,GB,Glasgow,Architect,mid,English,search,retention,134734,9929,334,936.94,316481.43,337.782,1.0
MC-40413,2025-01-01,GB,London,Teacher,premium,English,influencer,acquisition,38530,1008,50,7822.25,156909.97,20.0594,7.0
MC-41052,2025-01-01,US,Chicago,Marketing Manager,mid,English,email,acquisition,6565,226,9,2104.78,6655.09,3.1619,10.0
MC-41372,2025-01-01,US,Chicago,Data Scientist,mid,English,search,retention,16250,1046,35,911.14,39176.2,42.9969,2.0
MC-40193,2025-01-01,SG,Singapore,Designer,mid,English,social_media,acquisition,167357,2755,218,1368.47,137629.78,100.572,8.0
MC-40199,2025-01-01,GB,Glasgow,Designer,mid,English,content_marketing,acquisition,36368,632,24,434.0,13980.58,32.2133,4.0
MC-42562,2025-01-01,GB,Manchester,Sales Rep,mid,English,display,retention,28350,362,9,560.33,4264.35,7.6104,1.0
MC-40876,2025-01-01,JP,Sapporo,Writer,premium,Japanese,social_media,awareness,87595,1987,89,6052.4,293957.65,48.5688,2.0
MC-40385,2025-01-01,SG,Singapore,Researcher,mid,English,social_media,retention,60287,1273,82,918.43,59471.77,64.7537,9.0
MC-41650,2025-01-02,MX,Tijuana,Physician,mid,Spanish,email,awareness,179326,4653,350,434.57,403618.78,928.7774,2.0
MC-41340,2025-01-02,FR,Bordeaux,Sales Rep,budget,French,social_media,acquisition,253252,3939,54,1556.66,5321.85,3.4188,3.0
MC-41566,2025-01-02,US,Los Angeles,Software Engineer,budget,English,content_marketing,acquisition,22512,497,10,424.71,2333.88,5.4952,6.0
MC-41623,2025-01-02,US,Phoenix,Teacher,premium,English,search,acquisition,29314,1652,111,3308.11,343089.18,103.7115,1.0
MC-40103,2025-01-02,GB,London,Lawyer,budget,English,search,acquisition,4410,324,11,9295.13,2158.96,0.2323,6.0
MC-40808,2025-01-02,GB,Manchester,Designer,mid,English,social_media,retention,130467,1960,93,860.69,47343.82,55.0068,7.0
MC-42834,2025-01-02,IN,Bangalore,Teacher,mid,Hindi,social_media,acquisition,190352,2665,65,1408.99,29817.6,21.1624,2.0
MC-40714,2025-01-02,US,Chicago,Architect,mid,English,social_media,acquisition,8187,130,1,843.32,991.41,1.1756,9.0
