date,gig_category,avg_price_usd,median_price_usd,min_price_usd,max_price_usd,n_listings,discount_active,price_change_pct
2024-10-01,AI/ML Development,632.69,617.09,300.74,925.64,4450,False,
2024-10-01,Content Writing,61.92,60.61,32.27,96.01,7899,False,
2024-10-01,Data Analysis,325.85,332.28,175.93,546.73,2982,False,
2024-10-01,Financial Modeling,454.01,422.84,262.23,639.05,1754,False,
2024-10-01,Graphic Design,114.25,110.01,76.97,169.49,8244,False,
2024-10-01,Legal Consulting,691.38,663.94,424.27,1199.89,639,False,
2024-10-01,Mobile App,505.0,468.85,198.06,780.91,2540,False,
2024-10-01,Music Production,164.85,168.38,112.46,259.5,1413,False,
2024-10-01,Photography,152.82,163.1,66.24,280.48,3694,False,
2024-10-01,SEO/SEM,221.38,235.88,159.13,306.9,4210,False,
2024-10-01,Social Media Management,167.69,170.93,76.26,347.93,3463,False,
2024-10-01,Translation,78.73,78.89,45.83,116.73,5213,False,
2024-10-01,Video Production,229.98,242.29,97.41,481.94,3429,False,
2024-10-01,Virtual Assistant,45.18,42.95,19.13,73.45,7884,False,
2024-10-01,Web Development,378.09,354.4,158.48,741.67,3653,False,
2024-10-02,AI/ML Development,601.01,565.26,423.35,867.87,2292,False,
2024-10-02,Content Writing,50.82,50.79,33.65,66.8,10410,False,
2024-10-02,Data Analysis,308.87,291.3,172.25,448.53,3246,False,
2024-10-02,Financial Modeling,453.06,446.96,247.33,742.39,897,False,
2024-10-02,Graphic Design,103.14,108.37,49.86,205.89,4387,False,
2024-10-02,Legal Consulting,632.46,607.61,246.91,969.11,345,False,
2024-10-02,Mobile App,521.57,483.82,266.37,863.61,2151,False,
2024-10-02,Music Production,208.52,216.03,142.09,271.03,2118,False,
2024-10-02,Photography,129.69,124.75,52.62,227.29,3489,False,
2024-10-02,SEO/SEM,263.23,246.97,133.17,455.45,2439,False,
2024-10-02,Social Media Management,184.34,196.6,84.95,327.03,3872,False,
2024-10-02,Translation,80.98,75.25,40.39,127.25,4604,False,
2024-10-02,Video Production,302.09,304.96,133.94,474.48,1566,False,
2024-10-02,Virtual Assistant,47.05,49.44,24.8,67.94,4096,False,
2024-10-02,Web Development,427.59,439.66,210.07,790.25,3649,False,
2024-10-03,AI/ML Development,651.47,685.19,452.5,850.8,2239,False,
2024-10-03,Content Writing,50.29,48.25,28.36,74.32,9950,False,
2024-10-03,Data Analysis,315.59,307.1,151.27,498.21,2932,False,
2024-10-03,Financial Modeling,544.4,540.34,210.61,1069.16,844,False,
2024-10-03,Graphic Design,110.09,118.81,65.42,171.4,5687,False,
2024-10-03,Legal Consulting,825.91,765.29,480.62,1335.05,986,False,
2024-10-03,Mobile App,571.97,600.7,245.36,970.15,2141,False,
2024-10-03,Music Production,156.65,153.92,75.1,311.87,976,False,
2024-10-03,Photography,133.97,144.59,74.47,204.73,1480,False,
2024-10-03,SEO/SEM,244.68,248.97,110.35,499.86,5344,False,
2024-10-03,Social Media Management,166.88,164.47,72.42,330.13,3564,False,
2024-10-03,Translation,67.61,65.15,31.2,105.07,4365,False,
2024-10-03,Video Production,292.49,278.99,119.07,635.0,2461,False,
2024-10-03,Virtual Assistant,51.43,54.21,27.61,82.43,6106,False,
2024-10-03,Web Development,451.91,421.82,192.75,806.01,3654,False,
