transaction_id,date,gig_category,seller_country,buyer_country,seller_profession,amount_usd,currency,payment_method,status,completion_days,rating,is_repeat_buyer,platform_fee_usd,seller_level,week_number
TXN-1300125,2024-10-01,Content Writing,DE,FR,Writer,162.48,USD,credit_card,completed,3,4.3,False,32.5,top_rated,40
TXN-1300062,2024-10-01,Social Media Management,DE,MX,Marketing Manager,2006.61,GBP,credit_card,completed,9,2.6,False,401.32,rising_talent,40
TXN-1300060,2024-10-01,Financial Modeling,US,GB,Accountant,474.59,INR,credit_card,completed,12,4.3,True,94.92,level_1,40
TXN-1300187,2024-10-01,Data Analysis,GB,US,Data Scientist,4046.61,USD,bank_transfer,completed,8,4.6,True,809.32,level_1,40
TXN-1300188,2024-10-01,Data Analysis,US,US,Data Scientist,313.45,USD,credit_card,completed,5,4.2,False,62.69,level_2,40
TXN-1300268,2024-10-01,Photography,DE,US,Designer,429.56,ILS,credit_card,completed,7,4.5,False,85.91,rising_talent,40
TXN-1300055,2024-10-01,Music Production,US,AU,Designer,47.13,USD,credit_card,completed,13,4.6,False,9.43,new_seller,40
TXN-1300106,2024-10-01,Web Development,IN,IN,Software Engineer,199.59,USD,credit_card,completed,12,4.6,True,39.92,rising_talent,40
TXN-1300191,2024-10-01,SEO/SEM,US,IL,Marketing Manager,2150.42,USD,credit_card,completed,10,4.7,True,430.08,level_1,40
TXN-1300052,2024-10-01,Social Media Management,ZA,GB,Marketing Manager,304.44,ILS,credit_card,completed,9,4.7,False,60.89,level_1,40
TXN-1300192,2024-10-01,Social Media Management,US,IN,Marketing Manager,219.68,GBP,paypal,completed,19,4.0,True,43.94,level_2,40
TXN-1300049,2024-10-01,Web Development,ZA,GB,Software Engineer,165.39,USD,credit_card,completed,9,4.4,False,33.08,level_1,40
TXN-1300197,2024-10-01,Mobile App,MX,IN,Software Engineer,450.59,USD,credit_card,completed,17,3.1,False,90.12,rising_talent,40
TXN-1300043,2024-10-01,Web Development,IL,FR,Software Engineer,555.9,EUR,credit_card,completed,13,4.8,True,111.18,level_2,40
TXN-1300254,2024-10-01,Data Analysis,US,ES,Data Scientist,51.04,USD,credit_card,completed,4,4.1,False,10.21,level_2,40
TXN-1300041,2024-10-01,AI/ML Development,US,SG,Data Scientist,218.32,USD,paypal,completed,20,4.8,False,43.66,top_rated,40
TXN-1300185,2024-10-01,Virtual Assistant,ES,DE,HR Manager,1012.46,USD,paypal,disputed,1,,False,202.49,rising_talent,40
