date,gig_category,avg_price_usd,median_price_usd,min_price_usd,max_price_usd,n_listings,discount_active,price_change_pct
2024-07-01,AI/ML Development,699.52,709.66,418.42,1094.83,1875,False,
2024-07-01,Content Writing,61.25,58.69,37.52,102.76,7364,False,
2024-07-01,Data Analysis,312.5,294.45,153.25,626.66,2526,False,
2024-07-01,Financial Modeling,472.25,439.61,209.61,1002.71,1647,False,
2024-07-01,Graphic Design,135.99,140.66,68.86,199.57,8078,False,
2024-07-01,Legal Consulting,731.89,737.76,393.75,1092.57,1317,False,
2024-07-01,Mobile App,565.05,573.58,387.9,894.99,2710,False,
2024-07-01,Music Production,228.59,230.12,134.83,311.59,1889,False,
2024-07-01,Photography,172.32,169.17,88.38,274.19,2409,False,
2024-07-01,SEO/SEM,220.16,221.08,95.95,424.35,3120,False,
2024-07-01,Social Media Management,179.47,187.02,108.28,300.16,1912,False,
2024-07-01,Translation,87.51,81.4,49.41,157.37,3687,False,
2024-07-01,Video Production,330.7,350.34,196.17,594.43,1164,False,
2024-07-01,Virtual Assistant,55.66,51.3,39.71,84.68,5834,False,
2024-07-01,Web Development,458.55,471.56,207.21,861.97,7260,False,
2024-07-02,AI/ML Development,739.73,682.19,380.31,1195.24,1598,False,
2024-07-02,Content Writing,57.08,58.66,39.88,87.53,11827,False,
2024-07-02,Data Analysis,391.53,380.16,212.57,716.27,2215,False,
2024-07-02,Financial Modeling,504.78,509.52,223.05,835.81,942,False,
2024-07-02,Graphic Design,138.86,141.32,67.95,281.64,6823,False,
2024-07-02,Legal Consulting,882.43,827.35,544.09,1359.96,1201,False,
2024-07-02,Mobile App,7924.97,700.49,293.86,1289.53,1950,False,
2024-07-02,Music Production,190.3,199.76,137.97,296.17,1679,False,
2024-07-02,Photography,175.78,174.57,109.65,301.33,3011,False,
2024-07-02,SEO/SEM,260.51,255.95,126.48,451.14,1972,False,
2024-07-02,Social Media Management,182.79,173.91,102.46,324.31,3907,False,
2024-07-02,Translation,85.2,88.32,53.24,124.91,4364,False,
2024-07-02,Video Production,293.63,294.28,197.54,468.49,3387,False,
2024-07-02,Virtual Assistant,55.85,51.76,21.87,108.16,7643,False,
2024-07-02,Web Development,453.18,470.68,306.92,590.25,6416,False,
2024-07-03,AI/ML Development,763.98,746.43,454.82,1194.24,2037,False,
2024-07-03,Content Writing,68.11,70.99,29.97,107.55,8026,False,
2024-07-03,Data Analysis,365.09,384.38,219.19,615.57,5074,False,
2024-07-03,Financial Modeling,608.43,609.37,405.63,958.25,1171,False,
2024-07-03,Graphic Design,131.94,139.1,59.06,218.91,6051,False,
2024-07-03,Legal Consulting,883.61,897.32,482.22,1296.28,853,False,
2024-07-03,Mobile App,618.41,627.72,314.23,1222.31,2636,False,
2024-07-03,Music Production,207.52,195.93,88.97,352.53,2078,False,
2024-07-03,Photography,139.3,150.0,61.3,243.99,1809,False,
2024-07-03,SEO/SEM,233.79,242.09,162.27,312.89,2210,False,
2024-07-03,Social Media Management,177.01,169.96,94.81,338.76,4255,False,
2024-07-03,Translation,82.47,77.05,54.2,137.58,3567,False,
2024-07-03,Video Production,267.27,264.46,119.94,468.5,1602,False,
2024-07-03,Virtual Assistant,53.0,54.54,35.53,88.5,7633,False,
2024-07-03,Web Development,466.79,493.06,320.9,659.42,4514,False,
2024-07-04,AI/ML Development,706.12,676.76,377.14,975.53,2547,False,
2024-07-04,Content Writing,53.19,52.57,32.76,70.58,9438,False,
2024-07-04,Data Analysis,392.37,411.53,244.05,578.61,3081,False,
2024-07-04,Financial Modeling,530.05,552.39,364.93,707.57,1033,False,
2024-07-04,Graphic Design,125.98,132.66,56.65,183.08,4883,False,
2024-07-04,Legal Consulting,730.72,673.89,286.06,1474.52,1161,False,
2024-07-04,Mobile App,675.04,672.07,481.89,972.42,2712,False,
2024-07-04,Music Production,239.11,234.77,170.03,367.53,1673,False,
2024-07-04,Photography,145.8,155.27,102.88,223.69,2596,False,
2024-07-04,SEO/SEM,256.5,265.18,180.15,381.64,5076,False,
2024-07-04,Social Media Management,177.7,182.15,123.91,268.16,4273,False,
2024-07-04,Translation,69.74,66.61,45.65,112.25,6574,False,
2024-07-04,Video Production,351.2,355.33,210.13,635.51,2213,False,
2024-07-04,Virtual Assistant,52.59,55.41,27.85,95.53,5692,False,
2024-07-04,Web Development,488.06,464.63,313.07,675.1,8751,False,
2024-07-05,AI/ML Development,762.89,755.39,555.26,1139.84,1692,False,
2024-07-05,Content Writing,66.53,62.4,41.88,103.16,11007,False,
2024-07-05,Data Analysis,353.77,351.03,209.22,606.22,2672,False,
2024-07-05,Financial Modeling,498.52,520.15,339.79,709.87,1497,False,
2024-07-05,Graphic Design,125.9,135.82,77.28,223.54,6316,False,
2024-07-05,Legal Consulting,939.28,881.96,587.4,1411.15,629,False,
2024-07-05,Mobile App,587.08,564.91,271.87,901.97,4822,False,
2024-07-05,Music Production,231.33,229.49,91.89,385.32,2492,False,
2024-07-05,Photography,169.92,162.23,111.65,220.94,2591,False,
2024-07-05,SEO/SEM,265.9,255.02,107.21,494.18,3424,False,
2024-07-05,Social Media Management,181.51,178.34,124.1,235.79,1983,False,
2024-07-05,Translation,77.61,73.1,55.92,121.55,3723,False,
2024-07-05,Video Production,314.22,307.56,196.99,465.02,2339,False,
2024-07-05,Virtual Assistant,53.93,57.59,29.85,95.1,7600,False,
