transaction_id,date,gig_category,seller_country,buyer_country,seller_profession,amount_usd,currency,payment_method,status,completion_days,rating,is_repeat_buyer,platform_fee_usd,seller_level,week_number
TXN-1000228,2024-01-01,Social Media Management,IN,FR,Marketing Manager,2206.6,USD,paypal,completed,5,3.6,False,441.32,level_1,1
TXN-1000035,2024-01-01,Translation,MX,BR,Writer,54.48,USD,credit_card,completed,2,3.9,False,10.9,top_rated,1
TXN-1000255,2024-01-01,Video Production,BR,IN,Designer,1073.84,USD,credit_card,completed,8,4.1,False,214.77,top_rated,1
TXN-1000037,2024-01-01,Graphic Design,US,US,Designer,99.0,USD,paypal,completed,13,4.5,False,19.8,level_2,1
TXN-1000038,2024-01-01,Data Analysis,MX,SG,Data Scientist,170.98,ILS,bank_transfer,completed,5,4.4,True,34.2,level_2,1
TXN-1000040,2024-01-01,Virtual Assistant,ZA,GB,HR Manager,24.6,ILS,credit_card,completed,1,3.6,False,4.92,new_seller,1
TXN-1000041,2024-01-01,AI/ML Development,US,CA,Data Scientist,339.36,USD,credit_card,completed,28,3.2,False,67.87,level_2,1
TXN-1000122,2024-01-01,Legal Consulting,IN,FR,Lawyer,15.6,USD,paypal,completed,21,4.7,True,3.12,top_rated,1
TXN-1000120,2024-01-01,Music Production,ES,SG,Designer,337.22,USD,paypal,completed,19,4.1,True,67.44,level_1,1
TXN-1000115,2024-01-01,Music Production,NL,US,Designer,155.85,USD,credit_card,completed,17,4.5,False,31.17,rising_talent,1
TXN-1000114,2024-01-01,Virtual Assistant,US,US,HR Manager,327.72,USD,bank_transfer,completed,2,4.3,True,65.54,level_1,1
TXN-1000112,2024-01-01,Graphic Design,DE,GB,Designer,75.95,USD,credit_card,disputed,7,,True,15.19,level_2,1
TXN-1000111,2024-01-01,Data Analysis,CA,IN,Data Scientist,80.63,USD,credit_card,completed,8,3.6,False,16.13,new_seller,1
TXN-1000050,2024-01-01,Web Development,US,SG,Software Engineer,116.25,USD,credit_card,completed,20,2.7,False,23.25,new_seller,1
TXN-1000271,2024-01-01,Financial Modeling,US,NL,Accountant,184.47,USD,paypal,completed,16,3.5,False,36.89,level_2,1
TXN-1000054,2024-01-01,SEO/SEM,DE,US,Marketing Manager,191.93,USD,credit_card,completed,7,4.5,False,38.39,level_1,1
TXN-1000242,2024-01-01,Content Writing,US,GB,Writer,344.41,USD,bank_transfer,completed,3,4.5,False,68.88,level_2,1
TXN-1000098,2024-01-01,Photography,ZA,AU,Designer,36.02,GBP,paypal,completed,3,4.1,True,7.2,level_1,1
TXN-1000060,2024-01-01,Mobile App,IL,US,Software Engineer,112.75,USD,paypal,completed,11,4.5,True,22.55,new_seller,1
TXN-1000266,2024-01-01,Legal Consulting,US,CA,Lawyer,196.27,EUR,credit_card,completed,14,4.8,False,39.25,new_seller,1
TXN-1000245,2024-01-01,Financial Modeling,IN,MX,Accountant,38.27,USD,credit_card,completed,15,4.6,False,7.65,level_2,1
TXN-1000091,2024-01-01,Graphic Design,AU,IL,Designer,493.68,USD,bank_transfer,completed,8,3.2,True,98.74,level_1,1
TXN-1000250,2024-01-01,Music Production,ZA,US,Designer,161.9,USD,credit_card,completed,16,2.7,True,32.38,new_seller,1
TXN-1000263,2024-01-01,Data Analysis,FR,FR,Data Scientist,585.43,USD,credit_card,completed,5,4.3,False,117.09,level_2,1
TXN-1000254,2024-01-01,Graphic Design,US,US,Designer,105.46,GBP,credit_card,cancelled,6,,False,21.09,level_2,1
TXN-1000070,2024-01-01,Web Development,NL,ZA,Software Engineer,111.11,USD,crypto,completed,8,4.5,False,22.22,rising_talent,1
TXN-1000131,2024-01-01,Data Analysis,IN,ES,Data Scientist,31.26,USD,bank_transfer,completed,9,4.3,False,6.25,top_rated,1
TXN-1000135,2024-01-01,Web Development,US,US,Software Engineer,29.6,USD,paypal,completed,6,4.0,False,5.92,level_1,1
TXN-1000256,2024-01-01,Graphic Design,FR,IN,Designer,568.36,USD,paypal,completed,5,2.9,False,113.67,level_1,1
TXN-1000006,2024-01-01,Video Production,US,ZA,Designer,592.56,USD,credit_card,completed,4,4.8,False,118.51,level_1,1
TXN-1000145,2024-01-01,Web Development,US,NL,Software Engineer,1022.04,USD,paypal,completed,15,4.5,False,204.41,level_2,1
TXN-1000288,2024-01-01,Virtual Assistant,DE,ZA,HR Manager,227.71,INR,paypal,completed,3,4.2,True,45.54,level_2,1
TXN-1000167,2024-01-01,Virtual Assistant,IN,IL,HR Manager,212.16,USD,bank_transfer,completed,3,4.5,True,42.43,top_rated,1
TXN-1000174,2024-01-01,Social Media Management,NL,DE,Marketing Manager,148.78,USD,paypal,completed,6,4.3,False,29.76,rising_talent,1
TXN-1000217,2024-01-01,Music Production,BR,US,Designer,231.1,EUR,bank_transfer,completed,9,4.3,False,46.22,level_1,1
TXN-1000219,2024-01-01,Music Production,CA,GB,Designer,24.86,EUR,bank_transfer,completed,8,5.0,False,4.97,level_1,1
TXN-1000200,2024-01-01,Photography,US,US,Designer,208.53,USD,credit_card,completed,2,4.8,False,41.71,rising_talent,1
TXN-1000166,2024-01-01,Translation,US,IN,Writer,60.31,USD,credit_card,completed,5,4.3,False,12.06,level_1,1
TXN-1000025,2024-01-01,Virtual Assistant,IN,IN,HR Manager,201.96,USD,credit_card,completed,1,4.0,True,40.39,level_1,1
TXN-1000150,2024-01-01,SEO/SEM,SG,ES,Marketing Manager,7.32,EUR,credit_card,completed,5,4.2,False,1.46,top_rated,1
