transaction_id,date,gig_category,seller_country,buyer_country,seller_profession,amount_usd,currency,payment_method,status,completion_days,rating,is_repeat_buyer,platform_fee_usd,seller_level,week_number
TXN-1100134,2024-04-01,Photography,US,US,Designer,374.63,ILS,crypto,completed,4,4.1,False,74.93,new_seller,14
TXN-1100021,2024-04-01,Data Analysis,GB,IN,Data Scientist,344.47,USD,paypal,completed,7,4.3,True,68.89,level_1,14
TXN-1100023,2024-04-01,AI/ML Development,IN,DE,Data Scientist,125.66,EUR,paypal,completed,11,4.5,False,25.13,rising_talent,14
TXN-1100160,2024-04-01,SEO/SEM,IN,US,Marketing Manager,962.63,USD,credit_card,completed,6,3.7,False,192.53,rising_talent,14
TXN-1100162,2024-04-01,Graphic Design,GB,US,Designer,116.1,INR,paypal,completed,7,3.7,False,23.22,level_1,14
TXN-1100096,2024-04-01,Content Writing,US,GB,Writer,9.2,USD,bank_transfer,completed,1,3.8,False,1.84,level_1,14
TXN-1100163,2024-04-01,Virtual Assistant,IN,IL,HR Manager,43.78,GBP,credit_card,completed,1,4.2,False,8.76,level_1,14
TXN-1100038,2024-04-01,Virtual Assistant,SG,US,HR Manager,79.63,USD,paypal,completed,1,3.5,True,15.93,rising_talent,14
TXN-1100078,2024-04-01,Virtual Assistant,GB,CA,HR Manager,5.96,ILS,credit_card,completed,1,3.4,False,1.19,level_2,14
TXN-1100170,2024-04-01,Web Development,GB,US,Software Engineer,344.7,ILS,bank_transfer,completed,14,3.2,True,68.94,rising_talent,14
TXN-1100033,2024-04-01,Translation,US,ES,Writer,50.89,USD,paypal,completed,4,4.4,True,10.18,top_rated,14
TXN-1100081,2024-04-01,Photography,US,US,Designer,340.76,USD,bank_transfer,completed,3,4.6,True,68.15,level_2,14
TXN-1100042,2024-04-01,Mobile App,IN,IN,Software Engineer,882.88,USD,crypto,disputed,29,,True,176.58,top_rated,14
TXN-1100084,2024-04-01,Content Writing,ZA,CA,Writer,187.88,USD,credit_card,completed,2,4.9,False,37.58,rising_talent,14
TXN-1100204,2024-04-01,Legal Consulting,DE,SG,Lawyer,79.47,USD,paypal,completed,22,4.1,False,15.89,rising_talent,14
TXN-1100188,2024-04-01,Content Writing,GB,DE,Writer,1277.22,USD,crypto,completed,2,4.5,False,255.44,level_2,14
