campaign_id,date,geo,city,profession,price_range,language,channel,campaign_type,impressions,clicks,conversions,spend_usd,revenue_usd,roi,quality_score
MC-20251,2024-07-01,US,Los Angeles,Sales Rep,budget,English,content_marketing,awareness,17380,261,7,2867.72,731.81,0.2552,10.0
MC-21800,2024-07-01,AU,Perth,Product Manager,premium,English,display,awareness,10692,105,1,4911.16,3879.75,0.79,8.0
MC-21798,2024-07-01,IN,Mumbai,Software Engineer,mid,Hindi,search,acquisition,56374,3711,209,2627.69,235290.47,89.5427,4.0
MC-20069,2024-07-01,IL,Haifa,Data Scientist,mid,Hebrew,search,awareness,65207,5532,215,4065.03,214555.4,52.7808,3.0
MC-22584,2024-07-01,ZA,Pretoria,Software Engineer,budget,Afrikaans,email,retention,22499,501,7,620.21,1650.76,2.6616,5.0
MC-21670,2024-07-01,FR,Toulouse,Architect,mid,French,content_marketing,retention,138668,3115,193,534.82,209500.01,391.7206,10.0
MC-20475,2024-07-01,US,Phoenix,Software Engineer,mid,English,email,retention,18943,665,26,3280.14,30939.36,9.4323,7.0
MC-20142,2024-07-01,SG,Singapore,Physician,budget,English,influencer,acquisition,43194,769,54,1927.6,11304.14,5.8644,9.0
MC-21593,2024-07-01,FR,Marseille,Product Manager,mid,French,social_media,retention,91542,1341,24,1720.18,19518.5,11.3468,8.0
MC-20134,2024-07-01,US,Houston,Product Manager,budget,English,social_media,retention,500000,12883,277,601.69,36544.27,60.736,8.0
MC-22900,2024-07-01,ZA,Port Elizabeth,Consultant,budget,Afrikaans,email,acquisition,10096,333,8,2618.19,1004.74,0.3838,3.0
MC-20502,2024-07-01,US,Los Angeles,Consultant,mid,English,search,retention,75717,7109,232,2037.63,172541.17,84.6774,4.0
MC-22520,2024-07-01,DE,Berlin,Product Manager,budget,German,social_media,retention,80837,2066,67,31517.95,10795.27,0.3425,6.0
MC-21588,2024-07-01,MX,Tijuana,Accountant,premium,Spanish,search,retention,2070,183,6,554.05,23947.35,43.2224,2.0
MC-21087,2024-07-01,BR,Brasília,Consultant,budget,Portuguese,display,acquisition,50610,628,13,1285.36,2325.58,1.8093,1.0
MC-21516,2024-07-01,FR,Paris,Sales Rep,mid,French,search,acquisition,79780,5419,380,6075.5,241853.34,39.808,7.0
