date,gig_category,n_active_vendors,n_new_vendors,avg_vendor_rating,top_rated_fraction,total_profile_views,avg_profile_views,search_impressions,click_through_rate,avg_response_time_hours
2024-01-01,AI/ML Development,1647,15,4.46,0.131,7301.0,4.4,126729.0,0.039,16.4
2024-01-01,Content Writing,6121,17,4.04,0.127,32261.0,5.3,570967.0,0.0399,12.9
2024-01-01,Data Analysis,2692,27,4.27,0.168,10510.0,3.9,172123.0,0.0545,4.2
2024-01-01,Financial Modeling,844,2,4.5,0.145,4246.0,5.0,62621.0,0.041,3.3
2024-01-01,Graphic Design,4879,9,4.13,0.147,26347.0,5.4,415053.0,0.0409,2.6
2024-01-01,Legal Consulting,614,3,4.39,0.149,3122.0,5.1,55211.0,0.0391,13.2
2024-01-01,Mobile App,1710,13,4.34,0.182,8815.0,5.2,128533.0,0.0496,6.4
2024-01-01,Music Production,1042,7,3.8,0.088,4343.0,4.2,56924.0,0.0478,9.1
2024-01-01,Photography,1951,8,3.98,0.14,7509.0,3.8,127705.0,0.0434,20.9
2024-01-01,SEO/SEM,1886,15,3.97,0.192,7638.0,4.0,121869.0,0.0422,19.2
2024-01-01,Social Media Management,2795,34,3.87,0.103,12042.0,4.3,198237.0,0.0472,13.5
2024-01-01,Translation,4097,50,3.88,0.062,19701.0,4.8,301064.0,0.0499,5.1
2024-01-01,Video Production,1218,14,4.18,0.159,6317.0,5.2,78071.0,0.0558,8.3
2024-01-01,Virtual Assistant,3882,32,3.83,0.14,15761.0,4.1,266375.0,0.0462,7.3
2024-01-01,Web Development,3340,19,4.25,0.153,18652.0,5.6,303755.0,0.0431,18.8
2024-01-02,AI/ML Development,1728,11,4.4,0.146,,4.5,128139.0,0.0492,8.0
2024-01-02,Content Writing,6107,16,4.12,0.175,25147.0,4.1,304542.0,0.0487,8.8
2024-01-02,Data Analysis,2620,16,4.16,0.111,10788.0,4.1,130330.0,0.0429,5.0
2024-01-02,Financial Modeling,807,3,4.48,0.082,4445.0,5.5,71166.0,0.0487,6.7
2024-01-02,Graphic Design,4826,24,4.07,0.096,23819.0,4.9,290307.0,0.0382,5.8
2024-01-02,Legal Consulting,599,5,4.55,0.195,3286.0,5.5,42996.0,0.0404,2.5
2024-01-02,Mobile App,1992,17,4.09,0.155,10709.0,5.4,173133.0,0.0288,15.4
2024-01-02,Music Production,1082,8,3.87,0.063,5631.0,5.2,86617.0,0.0463,26.3
2024-01-02,Photography,1606,13,4.11,0.193,6480.0,4.0,105016.0,0.032,5.6
2024-01-02,SEO/SEM,2139,33,4.06,0.194,10048.0,4.7,121896.0,0.0455,16.2
2024-01-02,Social Media Management,3276,42,3.78,0.192,12751.0,3.9,200591.0,0.0348,24.6
2024-01-02,Translation,3306,16,3.94,0.129,17287.0,5.2,231048.0,0.0498,2.1
2024-01-02,Video Production,1346,10,4.22,0.169,6054.0,4.5,74416.0,0.0492,3.0
2024-01-02,Virtual Assistant,3758,29,3.72,0.123,13105.0,3.5,222995.0,0.0345,5.5
2024-01-02,Web Development,3148,13,4.29,0.202,17494.0,5.6,300899.0,0.041,11.5
2024-01-03,AI/ML Development,1716,7,4.44,0.132,10205.0,5.9,173794.0,0.0438,10.8
2024-01-03,Content Writing,5995,48,4.05,0.205,29797.0,5.0,485142.0,0.0437,9.3
2024-01-03,Data Analysis,2365,17,4.32,0.129,9874.0,4.2,165350.0,1.9104,4.5
2024-01-03,Financial Modeling,885,9,4.5,0.155,4182.0,4.7,70798.0,0.0459,9.2
2024-01-03,Graphic Design,4215,55,4.19,0.113,19558.0,4.6,283476.0,0.0414,8.7
2024-01-03,Legal Consulting,611,5,4.5,0.153,2767.0,4.5,44130.0,0.0569,14.8
