campaign_id,date,geo,city,profession,price_range,language,channel,campaign_type,impressions,clicks,conversions,spend_usd,revenue_usd,roi,quality_score
MC-32878,2024-10-01,NL,Amsterdam,Sales Rep,budget,Dutch,social_media,awareness,166717,4324,252,1410.66,24750.83,17.5456,4.0
MC-31735,2024-10-01,CA,Toronto,HR Manager,mid,English,social_media,awareness,82435,1394,86,6220.34,40302.06,6.4791,8.0
MC-31906,2024-10-01,IL,Netanya,Researcher,mid,Hebrew,social_media,re_engagement,71605,1510,23,609.73,20240.89,33.1965,6.0
MC-30347,2024-10-01,DE,Hamburg,Lawyer,mid,German,social_media,retention,79197,2012,108,2846.86,97114.65,34.1129,6.0
MC-30905,2024-10-01,CA,Toronto,Accountant,mid,English,social_media,awareness,20887,382,16,3552.61,10575.09,2.9767,7.0
MC-31926,2024-10-01,AU,Sydney,HR Manager,mid,English,email,acquisition,17340,581,45,6666.43,25639.43,3.8461,1.0
MC-31530,2024-10-01,US,Houston,Writer,budget,English,social_media,re_engagement,199705,3510,94,1963.66,8332.07,4.2431,6.0
MC-30033,2024-10-01,GB,Leeds,Designer,budget,English,social_media,retention,57327,1318,63,860.88,5548.72,6.4454,3.0
MC-31874,2024-10-01,IN,Delhi,Marketing Manager,mid,Hindi,content_marketing,acquisition,45922,727,23,31955.66,17426.74,0.5453,6.0
MC-32222,2024-10-01,BR,Brasília,Designer,mid,Portuguese,social_media,acquisition,101717,2346,66,731.41,35066.62,47.9439,7.0
MC-30443,2024-10-01,GB,Leeds,Software Engineer,mid,English,social_media,acquisition,52315,1030,32,244.62,38289.2,156.5252,6.0
MC-30289,2024-10-01,US,Chicago,Sales Rep,premium,English,social_media,re_engagement,165322,4017,252,572.68,835542.28,1459.0038,6.0
MC-30748,2024-10-01,MX,Guadalajara,Physician,mid,Spanish,search,acquisition,56901,3111,212,3628.56,241033.32,66.4267,4.0
MC-30449,2024-10-01,MX,Guadalajara,Physician,budget,Spanish,email,awareness,39376,1204,26,338.1,5486.12,16.2263,9.0
MC-30082,2024-10-01,GB,Birmingham,Consultant,mid,English,search,acquisition,50157,3111,98,21147.15,72135.56,3.4111,6.0
MC-32519,2024-10-01,IL,Jerusalem,Teacher,premium,Hebrew,social_media,retention,215277,3990,89,776.4,225326.42,290.2195,1.0
MC-31890,2024-10-01,MX,Monterrey,Marketing Manager,mid,Spanish,social_media,retention,25675,491,21,1039.36,13611.62,13.0962,7.0
MC-32373,2024-10-01,IN,Mumbai,Architect,budget,Hindi,social_media,retention,169155,4177,47,3995.34,10423.4,2.6089,7.0
