date,gig_category,avg_price_usd,median_price_usd,min_price_usd,max_price_usd,n_listings,discount_active,price_change_pct
2024-04-01,AI/ML Development,727.68,708.86,447.34,966.95,3143,False,
2024-04-01,Content Writing,65.95,69.47,47.42,95.03,4594,False,
2024-04-01,Data Analysis,322.47,347.6,167.4,513.83,3470,False,
2024-04-01,Financial Modeling,457.94,480.21,321.08,703.93,1685,False,
2024-04-01,Graphic Design,125.81,125.97,49.33,220.87,11358,False,
2024-04-01,Legal Consulting,755.51,743.14,403.89,1104.87,1169,False,
2024-04-01,Mobile App,500.95,536.87,283.72,784.06,2785,False,
2024-04-01,Music Production,187.32,177.33,130.41,250.68,1666,False,
2024-04-01,Photography,149.18,137.95,73.16,267.07,1975,False,
2024-04-01,SEO/SEM,269.95,251.86,116.06,522.3,2677,False,
2024-04-01,Social Media Management,187.82,196.3,102.71,312.04,3084,False,
2024-04-01,Translation,82.9,82.13,55.53,106.71,8281,False,
2024-04-01,Video Production,321.36,323.42,155.2,579.06,2340,False,
2024-04-01,Virtual Assistant,46.25,44.58,20.31,72.1,5789,False,
2024-04-01,Web Development,405.8,427.87,181.37,712.44,3479,False,
2024-04-02,AI/ML Development,725.95,678.53,507.88,1100.34,1582,False,
2024-04-02,Content Writing,68.18,73.44,38.63,116.64,4796,False,
2024-04-02,Data Analysis,326.19,326.54,195.54,493.56,5122,False,
2024-04-02,Financial Modeling,499.34,503.84,233.85,754.23,1125,False,
2024-04-02,Graphic Design,118.21,123.17,59.38,206.19,4941,False,
2024-04-02,Legal Consulting,723.94,760.48,382.65,1263.11,636,False,
2024-04-02,Mobile App,588.87,542.24,271.66,1214.9,3353,False,
2024-04-02,Music Production,182.43,186.21,118.77,259.43,1353,False,
2024-04-02,Photography,143.66,147.66,91.49,227.82,3863,False,
2024-04-02,SEO/SEM,274.77,256.77,126.8,406.15,2713,False,
2024-04-02,Social Media Management,170.0,172.92,69.57,342.28,3566,False,
2024-04-02,Translation,79.23,75.45,51.12,134.09,10213,False,
2024-04-02,Video Production,304.5,308.04,194.67,407.95,1918,False,
2024-04-02,Virtual Assistant,53.97,52.22,23.09,80.86,7055,False,
2024-04-02,Web Development,380.46,363.75,277.29,588.9,4397,False,
2024-04-03,AI/ML Development,688.31,680.66,485.43,1039.75,1099,False,
2024-04-03,Content Writing,60.06,58.35,37.95,82.69,9482,False,
2024-04-03,Data Analysis,360.99,357.72,168.15,708.32,2771,False,
2024-04-03,Financial Modeling,453.84,482.55,218.54,650.87,991,False,
2024-04-03,Graphic Design,110.59,111.01,77.12,139.28,7640,False,
2024-04-03,Legal Consulting,898.6,842.25,653.35,1114.63,1138,False,
2024-04-03,Mobile App,637.34,656.31,258.1,1261.69,1320,False,
2024-04-03,Music Production,198.58,182.93,97.81,311.64,1502,False,
2024-04-03,Photography,143.61,147.59,100.41,193.28,3271,False,
2024-04-03,SEO/SEM,267.93,264.52,179.41,441.33,2467,False,
2024-04-03,Social Media Management,176.17,180.89,113.38,244.28,4778,False,
2024-04-03,Translation,797.6,97.27,45.47,133.8,5238,False,
2024-04-03,Video Production,335.83,318.02,164.4,538.05,3063,False,
2024-04-03,Virtual Assistant,50.08,48.39,27.61,77.22,7816,False,
2024-04-03,Web Development,417.82,410.26,207.23,656.29,4303,False,
2024-04-04,AI/ML Development,823.44,870.56,348.93,1400.2,1196,False,
2024-04-04,Content Writing,60.28,63.23,29.29,116.34,4149,False,
2024-04-04,Data Analysis,305.31,292.83,169.91,536.15,2452,False,
2024-04-04,Financial Modeling,445.57,461.11,175.52,884.24,843,False,
2024-04-04,Graphic Design,116.43,119.17,76.99,177.82,4764,False,
2024-04-04,Legal Consulting,848.14,899.79,455.66,1442.0,747,False,
2024-04-04,Mobile App,562.61,528.06,247.79,1059.49,2608,False,
2024-04-04,Music Production,198.31,207.11,81.26,382.05,1474,False,
2024-04-04,Photography,119.83,119.31,77.55,192.78,1818,False,
2024-04-04,SEO/SEM,249.54,264.59,111.32,435.07,4348,False,
2024-04-04,Social Media Management,181.96,178.5,74.86,328.14,2554,False,
2024-04-04,Translation,84.74,90.16,59.67,125.32,7146,False,
