date,gig_category,n_active_vendors,n_new_vendors,avg_vendor_rating,top_rated_fraction,total_profile_views,avg_profile_views,search_impressions,click_through_rate,avg_response_time_hours
2024-10-01,AI/ML Development,1730,7,4.48,0.113,11025.0,6.4,159617.0,0.0419,11.5
2024-10-01,Content Writing,6437,41,4.06,0.163,45264.0,7.0,641596.0,0.0575,9.7
2024-10-01,Data Analysis,3081,57,4.39,0.2,23433.0,7.6,360735.0,0.0434,17.7
2024-10-01,Financial Modeling,1012,9,4.5,0.135,7266.0,7.2,97489.0,0.0417,6.0
2024-10-01,Graphic Design,5874,22,4.15,0.193,36062.0,6.1,501330.0,0.0538,6.9
2024-10-01,Legal Consulting,639,4,4.66,0.172,4362.0,6.8,73122.0,0.0521,10.6
2024-10-01,Mobile App,2265,13,4.22,0.104,15951.0,7.0,227400.0,0.0428,12.4
2024-10-01,Music Production,1474,3,3.91,0.145,8232.0,5.6,136489.0,0.0419,6.2
2024-10-01,Photography,1822,7,4.08,0.116,15270.0,8.4,267056.0,0.0343,7.7
2024-10-01,SEO/SEM,2556,16,4.08,0.166,21135.0,8.3,368456.0,0.0509,6.1
2024-10-01,Social Media Management,3165,18,3.74,0.136,21870.0,6.9,315483.0,0.0451,9.0
2024-10-01,Translation,4503,15,3.84,0.151,35549.0,7.9,616346.0,0.0435,4.9
2024-10-01,Video Production,1703,28,4.29,0.131,11323.0,6.6,178883.0,0.0509,3.6
2024-10-01,Virtual Assistant,5130,9,3.81,0.166,40611.0,7.9,554681.0,0.0343,4.4
2024-10-01,Web Development,3937,44,4.37,0.223,30088.0,7.6,389274.0,0.0649,21.9
2024-10-02,AI/ML Development,2026,19,4.36,0.205,13433.0,6.6,195040.0,0.0427,20.7
2024-10-02,Content Writing,6925,44,3.99,0.145,41855.0,6.0,654825.0,0.0449,5.9
2024-10-02,Data Analysis,3153,13,4.28,0.177,19584.0,6.2,292480.0,0.0414,3.4
2024-10-02,Financial Modeling,1058,5,4.65,0.182,9392.0,8.9,130225.0,0.0366,13.1
2024-10-02,Graphic Design,5559,30,4.15,0.161,36344.0,6.5,636271.0,0.0492,11.4
2024-10-02,Legal Consulting,740,2,4.5,0.167,4918.0,6.6,81620.0,0.0556,37.7
2024-10-02,Mobile App,2307,15,4.33,0.189,19799.0,8.6,315225.0,0.0408,9.2
2024-10-02,Music Production,1209,7,3.86,0.125,7834.0,6.5,115949.0,0.055,7.1
2024-10-02,Photography,1907,20,4.12,0.141,13666.0,7.2,224653.0,0.045,19.1
2024-10-02,SEO/SEM,2111,16,4.08,0.203,14776.0,7.0,221257.0,0.0596,7.8
2024-10-02,Social Media Management,3181,78,3.8,0.135,20151.0,6.3,360958.0,0.0491,11.3
2024-10-02,Translation,4226,29,3.97,0.123,29214.0,6.9,443380.0,0.0447,6.3
2024-10-02,Video Production,1522,11,4.25,0.153,11931.0,7.8,197692.0,0.0461,4.6
2024-10-02,Virtual Assistant,4962,36,3.97,0.146,33984.0,6.8,525844.0,0.0408,6.5
2024-10-02,Web Development,3296,62,4.29,0.139,21540.0,6.5,329189.0,0.0385,6.1
2024-10-03,AI/ML Development,1785,10,4.43,0.145,10796.0,6.0,138935.0,0.0296,6.6
2024-10-03,Content Writing,7963,60,4.07,0.131,47797.0,6.0,686015.0,0.055,7.2
2024-10-03,Data Analysis,2819,19,4.38,0.174,14669.0,5.2,206017.0,0.0447,17.0
2024-10-03,Financial Modeling,874,4,4.55,0.198,6862.0,7.9,115292.0,0.043,5.6
2024-10-03,Graphic Design,5136,18,4.13,0.151,26466.0,5.2,469607.0,0.0494,8.3
2024-10-03,Legal Consulting,646,2,4.77,0.171,3777.0,5.8,61358.0,0.0357,4.5
2024-10-03,Mobile App,1918,20,4.18,0.178,11500.0,6.0,176874.0,0.0354,15.9
2024-10-03,Music Production,1414,5,3.82,0.168,8610.0,6.1,114154.0,0.0462,10.0
2024-10-03,Photography,2145,11,4.18,0.11,12372.0,5.8,156438.0,0.0381,10.1
2024-10-03,SEO/SEM,2510,5,3.92,0.115,15756.0,6.3,192811.0,0.0479,12.8
2024-10-03,Social Media Management,3388,23,3.77,0.123,20225.0,6.0,319762.0,0.0567,3.8
2024-10-03,Translation,4317,20,3.9,0.181,22410.0,5.2,357409.0,0.0435,8.6
2024-10-03,Video Production,1566,24,4.24,0.05,8495.0,5.4,149267.0,0.0519,11.5
2024-10-03,Virtual Assistant,4484,33,3.82,0.175,24925.0,5.6,442594.0,0.0546,11.4
2024-10-03,Web Development,3685,17,4.32,0.164,28153.0,7.6,492502.0,0.0406,10.3
2024-10-04,AI/ML Development,2070,14,4.43,0.111,14391.0,7.0,240254.0,0.0469,18.7
2024-10-04,Content Writing,7796,91,4.03,0.126,37709.0,4.8,597622.0,0.0356,7.9
2024-10-04,Data Analysis,2725,28,4.3,0.116,18370.0,6.7,298805.0,0.0423,7.1
2024-10-04,Financial Modeling,969,8,4.59,0.137,6969.0,7.2,116068.0,0.0475,18.7
2024-10-04,Graphic Design,4898,20,4.22,0.157,34287.0,7.0,565161.0,0.0497,3.4
2024-10-04,Legal Consulting,719,4,4.69,0.176,5369.0,7.5,86725.0,0.0449,6.6
2024-10-04,Mobile App,2031,12,4.23,0.161,12995.0,6.4,173857.0,0.05,2.8
2024-10-04,Music Production,1331,10,3.83,0.198,7770.0,5.8,116526.0,0.0397,1.0
2024-10-04,Photography,2230,13,4.13,0.138,12433.0,5.6,172254.0,0.0608,7.3
2024-10-04,SEO/SEM,2155,23,4.04,0.216,14079.0,6.5,241427.0,0.0493,4.1
2024-10-04,Social Media Management,3172,71,3.72,0.132,18590.0,5.9,286928.0,0.0424,5.0
2024-10-04,Translation,3960,14,4.04,0.173,26715.0,6.7,388514.0,0.0419,7.0
2024-10-04,Video Production,1429,9,4.24,0.17,10510.0,7.4,171568.0,0.0423,4.5
2024-10-04,Virtual Assistant,4691,16,3.84,0.135,21426.0,4.6,278811.0,0.0528,4.8
2024-10-04,Web Development,3774,22,4.38,0.159,24668.0,6.5,309037.0,0.0508,3.9
2024-10-05,AI/ML Development,1912,20,4.44,0.164,8597.0,4.5,127650.0,0.0387,6.7
2024-10-05,Content Writing,7451,37,4.01,0.118,34670.0,4.7,619455.0,0.0425,5.1
2024-10-05,Data Analysis,2660,12,4.24,0.184,11124.0,4.2,154331.0,0.0432,12.0
2024-10-05,Financial Modeling,1015,3,4.63,0.158,4478.0,4.4,54632.0,0.052,6.0
2024-10-05,Graphic Design,4878,20,4.16,0.101,24403.0,5.0,306012.0,0.0485,18.1
2024-10-05,Legal Consulting,652,2,4.65,0.129,2509.0,3.8,30908.0,0.047,5.2
2024-10-05,Mobile App,2032,16,4.16,0.114,9793.0,4.8,154900.0,0.0276,25.8
2024-10-05,Music Production,1252,12,3.99,0.109,4242.0,3.4,73914.0,0.0447,6.1
2024-10-05,Photography,2130,14,4.22,0.147,9587.0,4.5,128406.0,0.0413,8.4
2024-10-05,SEO/SEM,2400,6,4.06,0.102,11970.0,5.0,179011.0,0.0374,9.7
2024-10-05,Social Media Management,3474,19,3.81,0.154,14051.0,4.0,246382.0,0.0515,4.0
2024-10-05,Translation,4520,14,3.91,0.14,16081.0,3.6,217946.0,0.0564,12.0
2024-10-05,Video Production,1609,11,4.23,0.134,7490.0,4.7,115404.0,0.0465,4.9
2024-10-05,Virtual Assistant,4362,76,3.85,0.142,15008.0,3.4,265493.0,0.0428,7.0
2024-10-05,Web Development,3563,21,4.31,0.142,14688.0,4.1,210805.0,0.0334,3.1
2024-10-06,AI/ML Development,2006,10,4.45,0.139,9730.0,4.9,170968.0,0.0532,15.8
2024-10-06,Content Writing,7570,27,3.95,0.142,30406.0,4.0,449576.0,0.0506,21.3
2024-10-06,Data Analysis,2716,12,4.31,0.139,12056.0,4.4,153304.0,0.046,5.9
2024-10-06,Financial Modeling,861,5,4.6,0.175,3610.0,4.2,45713.0,0.0346,2.1
2024-10-06,Graphic Design,5821,66,4.14,0.159,21563.0,3.7,295173.0,0.0401,8.6
2024-10-06,Legal Consulting,625,2,4.66,0.146,3140.0,5.0,52776.0,0.0379,26.5
2024-10-06,Mobile App,2300,22,4.25,0.18,9163.0,4.0,112220.0,0.0366,13.0
2024-10-06,Music Production,1480,9,3.91,0.122,6144.0,4.2,109253.0,0.0448,8.0
2024-10-06,Photography,2160,12,4.12,0.114,9531.0,4.4,143653.0,0.0473,13.7
2024-10-06,SEO/SEM,2551,27,4.03,0.173,8592.0,3.4,121805.0,0.0467,12.1
2024-10-06,Social Media Management,3450,53,3.91,0.133,13787.0,4.0,229597.0,0.045,7.7
2024-10-06,Translation,4498,45,3.89,0.163,16561.0,3.7,273789.0,0.0447,21.5
2024-10-06,Video Production,1725,8,4.19,0.155,7402.0,4.3,118767.0,0.0509,15.1
2024-10-06,Virtual Assistant,5126,10,3.78,0.143,15428.0,3.0,261289.0,0.0226,3.8
2024-10-06,Web Development,3559,27,4.3,0.161,12973.0,3.6,174654.0,0.0355,7.1
2024-10-07,AI/ML Development,1797,13,4.43,0.162,11326.0,6.3,176327.0,0.0411,11.5
2024-10-07,Content Writing,7261,14,4.1,0.167,46039.0,6.3,685555.0,0.0433,4.1
2024-10-07,Data Analysis,2820,21,4.38,0.13,25134.0,8.9,304789.0,0.0475,3.3
2024-10-07,Financial Modeling,839,7,4.45,0.169,6218.0,7.4,105857.0,0.0434,7.6
2024-10-07,Graphic Design,5809,13,4.2,0.118,46299.0,8.0,734051.0,0.0457,8.8
2024-10-07,Legal Consulting,712,9,4.62,0.159,5453.0,7.7,89643.0,0.05,9.6
