date,value,is_changepoint
2024-01-01,104.3379,0
2024-01-02,100.3069,0
2024-01-03,100.9803,0
2024-01-04,103.4094,0
2024-01-05,102.4727,0
2024-01-06,101.7369,0
2024-01-07,98.8625,0
2024-01-08,96.9434,0
2024-01-09,101.1285,0
2024-01-10,98.4641,0
2024-01-11,102.4817,0
2024-01-12,100.6338,0
2024-01-13,97.7641,0
2024-01-14,100.8032,0
2024-01-15,102.1275,0
2024-01-16,100.5326,0
2024-01-17,97.6523,0
2024-01-18,100.787,0
2024-01-19,101.071,0
2024-01-20,102.4729,0
2024-01-21,102.1661,0
2024-01-22,97.2752,0
2024-01-23,98.5067,0
2024-01-24,101.8171,0
2024-01-25,94.907,0
2024-01-26,102.3317,0
2024-01-27,97.4817,0
2024-01-28,98.7347,0
2024-01-29,104.33,0
2024-01-30,99.8066,0
2024-01-31,122.6494,1
2024-02-01,121.0535,0
2024-02-02,123.6808,0
2024-02-03,129.3417,0
2024-02-04,125.6901,0
2024-02-05,124.2449,0
2024-02-06,123.703,0
2024-02-07,125.3246,0
2024-02-08,124.8035,0
2024-02-09,120.361,0
2024-02-10,124.4524,0
2024-02-11,123.0879,0
2024-02-12,128.0788,0
2024-02-13,122.298,0
2024-02-14,126.6865,0
2024-02-15,119.4641,0
2024-02-16,123.8699,0
2024-02-17,120.7969,0
2024-02-18,120.2991,0
2024-02-19,125.2872,0
2024-02-20,119.9818,0
2024-02-21,122.5169,0
2024-02-22,120.8252,0
2024-02-23,124.119,0
2024-02-24,123.764,0
2024-02-25,116.4368,0
2024-02-26,125.0351,0
2024-02-27,121.103,0
2024-02-28,128.9546,0
2024-02-29,125.5839,0
2024-03-01,82.0042,1
2024-03-02,94.323,0
2024-03-03,89.2631,0
2024-03-04,85.1608,0
2024-03-05,90.0585,0
2024-03-06,92.9579,0
2024-03-07,84.4349,0
2024-03-08,92.2693,0
2024-03-09,88.1793,0
2024-03-10,87.4687,0
2024-03-11,87.8921,0
2024-03-12,86.7035,0
2024-03-13,89.7198,0
2024-03-14,89.8634,0
2024-03-15,92.1842,0
2024-03-16,93.2352,0
2024-03-17,88.1843,0
2024-03-18,92.2835,0
2024-03-19,85.7176,0
2024-03-20,90.9904,0
2024-03-21,85.906,0
2024-03-22,87.4722,0
2024-03-23,90.8896,0
2024-03-24,86.9565,0
2024-03-25,90.5501,0
2024-03-26,84.8542,0
2024-03-27,87.0339,0
2024-03-28,90.6665,0
2024-03-29,93.4896,0
2024-03-30,85.726,0
2024-03-31,93.7001,0
2024-04-01,89.8665,0
2024-04-02,95.696,0
2024-04-03,88.2113,0
2024-04-04,87.6189,0
2024-04-05,90.0392,0
2024-04-06,85.9419,0
2024-04-07,89.4578,0
2024-04-08,88.9036,0
2024-04-09,92.9495,0
2024-04-10,90.0844,0
2024-04-11,85.434,0
2024-04-12,85.2671,0
2024-04-13,86.2935,0
2024-04-14,83.0766,0
2024-04-15,82.8226,0
2024-04-16,95.2565,0
2024-04-17,86.6547,0
2024-04-18,92.8477,0
2024-04-19,86.9173,0
2024-04-20,87.8996,0
2024-04-21,84.0879,0
2024-04-22,92.7894,0
2024-04-23,87.9381,0
2024-04-24,93.9787,0
2024-04-25,87.0318,0
2024-04-26,92.8637,0
2024-04-27,93.459,0
2024-04-28,84.6785,0
2024-04-29,90.4272,0
2024-04-30,128.5931,1
2024-05-01,130.6277,0
2024-05-02,132.2128,0
2024-05-03,127.2296,0
2024-05-04,131.155,0
2024-05-05,129.889,0
2024-05-06,128.1968,0
2024-05-07,125.4364,0
2024-05-08,128.3437,0
2024-05-09,138.6096,0
2024-05-10,125.462,0
2024-05-11,127.7141,0
2024-05-12,125.5756,0
2024-05-13,132.2815,0
2024-05-14,133.5539,0
2024-05-15,132.1773,0
2024-05-16,134.0767,0
2024-05-17,127.9811,0
2024-05-18,133.1702,0
2024-05-19,125.7611,0
2024-05-20,132.809,0
2024-05-21,132.6161,0
2024-05-22,126.3484,0
2024-05-23,130.9986,0
2024-05-24,124.9936,0
2024-05-25,124.0303,0
2024-05-26,124.0565,0
2024-05-27,124.9069,0
2024-05-28,124.7931,0
2024-05-29,127.8501,0
2024-05-30,92.625,1
2024-05-31,90.8528,0
2024-06-01,95.4064,0
2024-06-02,92.6387,0
2024-06-03,93.647,0
2024-06-04,94.5531,0
2024-06-05,94.6737,0
2024-06-06,91.324,0
2024-06-07,92.6337,0
2024-06-08,96.1528,0
2024-06-09,92.2464,0
2024-06-10,92.6487,0
2024-06-11,94.2819,0
2024-06-12,94.626,0
2024-06-13,92.4204,0
2024-06-14,95.0474,0
2024-06-15,93.3476,0
2024-06-16,89.4472,0
2024-06-17,95.3079,0
2024-06-18,90.7657,0
2024-06-19,102.5444,0
2024-06-20,94.2405,0
2024-06-21,92.533,0
2024-06-22,95.9254,0
2024-06-23,97.7668,0
2024-06-24,97.9198,0
2024-06-25,94.2957,0
2024-06-26,96.5965,0
2024-06-27,95.5019,0
2024-06-28,93.6645,0
